TEAM_NAME,GP,W,L,W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,SEASON,TOP3_PTS,TOP3_STL,TOP3_BLK,TOP3_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,PACE,made_playoffs,FG3A_RATE,won_championship
Atlanta Hawks,82,60,22,0.732,3121,6699,0.466,818,2152,0.38,1349,1735,0.778,3326,2111,1167.0,744,380,8409,445.0,2014-15,1095.0,83.33333333333333,69.66666666666667,0.5003333333333333,108.2,102.3,5.9,94.66,1,0.3212419764143902,0
Boston Celtics,82,40,42,0.488,3193,7211,0.443,660,2021,0.327,1266,1678,0.754,3595,2009,1133.0,674,294,8312,13.0,2014-15,905.3333333333334,68.66666666666667,22.0,0.4536666666666666,103.8,103.5,0.3,96.71,1,0.2802662598807378,0
Brooklyn Nets,82,38,44,0.463,3069,6804,0.451,541,1633,0.331,1359,1817,0.748,3473,1716,1133.0,576,340,8038,-236.0,2014-15,1060.6666666666667,86.0,17.333333333333332,0.4466666666666667,103.4,106.3,-3.0,93.69,1,0.2400058788947678,0
Charlotte Hornets,82,33,49,0.402,2913,6932,0.42,498,1566,0.318,1397,1867,0.748,3613,1654,976.0,499,448,7721,-260.0,2014-15,873.6666666666666,69.66666666666667,29.666666666666668,0.4153333333333333,99.6,103.0,-3.4,93.45,0,0.2259088286208886,0
Chicago Bulls,82,50,32,0.61,3001,6797,0.442,645,1825,0.353,1618,2067,0.783,3751,1781,1145.0,514,476,8265,246.0,2014-15,1077.3333333333333,62.333333333333336,85.66666666666667,0.467,106.3,103.3,3.0,93.8,1,0.2685008091805208,0
Cleveland Cavaliers,82,53,29,0.646,3089,6739,0.458,826,2253,0.367,1453,1934,0.751,3523,1814,1171.0,603,340,8457,367.0,2014-15,1533.0,91.33333333333331,36.0,0.4633333333333334,110.1,105.3,4.8,93.23,1,0.334322599792254,0
Dallas Mavericks,82,50,32,0.61,3255,7036,0.463,732,2082,0.352,1386,1843,0.752,3466,1846,1062.0,663,371,8628,238.0,2014-15,1205.6666666666667,76.33333333333333,49.666666666666664,0.5233333333333333,108.2,104.9,3.2,96.4,1,0.2959067652075042,0
Denver Nuggets,82,30,52,0.366,3099,7158,0.433,660,2032,0.325,1462,1991,0.734,3665,1788,1166.0,641,367,8320,-291.0,2014-15,1058.0,70.66666666666667,31.666666666666668,0.4573333333333333,103.9,107.1,-3.3,96.87,0,0.2838781782620844,0
Detroit Pistons,82,32,50,0.39,3041,7038,0.432,703,2043,0.344,1292,1838,0.703,3681,1771,1099.0,623,383,8077,-82.0,2014-15,1096.6666666666667,76.0,60.0,0.4496666666666666,104.3,105.4,-1.1,93.68,0,0.2902813299232736,0
Golden State Warriors,82,67,15,0.817,3410,7137,0.478,883,2217,0.398,1313,1709,0.768,3667,2248,1185.0,762,496,9016,828.0,2014-15,1496.3333333333333,124.33333333333331,58.333333333333336,0.4643333333333333,110.4,100.4,9.9,99.28,1,0.310634720470786,1
Houston Rockets,82,56,26,0.683,3032,6832,0.444,933,2680,0.348,1525,2133,0.715,3582,1820,1366.0,777,407,8522,282.0,2014-15,1430.6666666666667,131.0,64.33333333333333,0.4203333333333334,106.0,102.6,3.4,97.36,1,0.392271662763466,0
Indiana Pacers,82,38,44,0.463,2998,6824,0.439,612,1740,0.352,1373,1817,0.756,3678,1757,1147.0,505,375,7981,23.0,2014-15,766.6666666666666,44.0,63.666666666666664,0.4376666666666666,102.9,102.7,0.2,93.67,0,0.2549824150058616,0
Los Angeles Clippers,82,56,26,0.683,3228,6830,0.473,827,2202,0.376,1468,2067,0.71,3495,2031,1012.0,640,409,8751,540.0,2014-15,1262.3333333333333,92.0,68.66666666666667,0.5573333333333333,111.6,104.7,6.9,95.4,1,0.3224011713030746,0
Los Angeles Lakers,82,21,61,0.256,3054,7020,0.435,532,1546,0.344,1433,1935,0.741,3599,1715,1086.0,578,366,8073,-561.0,2014-15,808.6666666666666,58.333333333333336,43.0,0.4323333333333333,102.3,109.4,-7.1,95.03,0,0.2202279202279202,0
Memphis Grizzlies,82,55,27,0.671,3097,6763,0.458,423,1246,0.339,1445,1869,0.773,3490,1777,1094.0,700,347,8062,266.0,2014-15,1119.3333333333333,66.0,59.0,0.4573333333333333,104.8,101.2,3.5,92.82,1,0.1842377643057814,0
Miami Heat,82,37,45,0.451,2885,6330,0.456,556,1659,0.335,1438,1940,0.741,3208,1626,1214.0,642,372,7764,-213.0,2014-15,1031.6666666666667,88.33333333333333,15.666666666666666,0.4576666666666666,103.2,106.1,-3.0,91.49,0,0.262085308056872,0
Milwaukee Bucks,82,41,41,0.5,3083,6722,0.459,545,1500,0.363,1312,1734,0.757,3450,1932,1373.0,789,403,8023,35.0,2014-15,1017.0,102.0,42.0,0.4513333333333333,102.0,101.4,0.6,94.82,1,0.2231478726569473,0
Minnesota Timberwolves,82,16,66,0.195,2986,6820,0.438,406,1223,0.332,1638,2110,0.776,3355,1771,1231.0,668,327,8016,-721.0,2014-15,958.3333333333334,70.33333333333333,62.0,0.455,101.8,110.9,-9.1,95.45,0,0.1793255131964809,0
